iter	Passed	Remaining
0	3	3785
1	7	3504
2	10	3379
3	13	3338
4	16	3339
5	20	3350
6	23	3279
7	26	3259
8	29	3228
9	32	3246
10	36	3241
11	39	3214
12	41	3184
13	45	3184
14	48	3189
15	51	3173
16	54	3159
17	57	3152
18	60	3133
19	64	3143
20	66	3118
21	69	3088
22	72	3060
23	74	3034
24	77	3036
25	80	3018
26	83	2999
27	85	2979
28	88	2961
29	91	2948
30	94	2949
31	96	2932
32	99	2910
33	101	2895
34	104	2884
35	107	2885
36	111	2898
37	114	2891
38	116	2876
39	119	2862
40	122	2860
41	125	2856
42	128	2852
43	131	2846
44	133	2836
45	136	2825
46	139	2831
47	142	2832
48	145	2830
49	148	2824
50	151	2821
51	154	2812
52	156	2805
53	160	2807
54	162	2798
55	165	2790
56	168	2785
57	171	2777
58	173	2771
59	176	2764
60	179	2756
61	182	2760
62	185	2759
63	188	2757
64	191	2754
65	194	2751
66	198	2762
67	201	2763
68	204	2764
69	208	2764
70	211	2772
71	215	2782
72	218	2773
73	221	2772
74	224	2768
75	227	2761
76	229	2753
77	232	2744
78	234	2737
79	237	2732
80	240	2734
81	243	2728
82	246	2721
83	248	2713
84	251	2705
85	254	2705
86	257	2702
87	260	2701
88	264	2703
89	267	2707
90	271	2710
91	273	2698
92	276	2692
93	278	2685
94	281	2679
95	284	2679
96	287	2674
97	290	2669
98	292	2662
99	295	2655
100	298	2653
101	301	2650
102	303	2643
103	306	2638
104	309	2633
105	311	2630
106	314	2625
107	317	2619
108	319	2614
109	322	2608
110	324	2600
111	327	2595
112	329	2590
113	332	2585
114	335	2580
115	337	2575
116	340	2572
117	343	2567
118	345	2561
119	349	2564
120	352	2559
121	355	2556
122	358	2553
123	360	2548
124	363	2544
125	366	2540
126	369	2537
127	371	2532
128	374	2527
129	376	2521
130	379	2518
131	382	2513
132	385	2512
133	388	2509
134	390	2505
135	393	2499
136	396	2496
137	399	2495
138	402	2493
139	406	2495
140	409	2493
141	412	2492
142	416	2497
143	420	2499
144	423	2496
145	426	2496
146	430	2500
147	434	2499
148	437	2498
149	440	2498
150	444	2501
151	448	2502
152	452	2504
153	456	2506
154	460	2511
155	463	2507
156	465	2501
157	468	2496
158	471	2491
159	474	2489
160	476	2483
161	478	2477
162	481	2472
163	483	2467
164	486	2461
165	489	2459
166	492	2454
167	494	2449
168	497	2445
169	499	2440
170	502	2436
171	505	2432
172	508	2428
173	510	2423
174	513	2418
175	515	2413
176	518	2412
177	521	2409
178	524	2404
179	526	2399
180	529	2395
181	532	2392
182	534	2388
183	538	2388
184	541	2383
185	543	2378
186	546	2374
187	549	2372
188	551	2368
189	554	2363
190	557	2359
191	559	2355
192	562	2353
193	566	2352
194	569	2350
195	572	2348
196	575	2346
197	579	2345
198	582	2343
199	585	2341
200	588	2339
201	592	2339
202	595	2339
203	599	2339
204	603	2339
205	607	2341
206	611	2341
207	614	2341
208	618	2342
209	622	2340
210	625	2337
211	628	2335
212	631	2334
213	635	2333
214	638	2330
215	641	2328
216	644	2325
217	647	2324
218	651	2323
219	655	2322
220	658	2319
221	661	2317
222	664	2316
223	668	2314
224	671	2311
225	674	2309
226	677	2307
227	681	2307
228	684	2304
229	687	2302
230	690	2299
231	693	2296
232	697	2295
233	700	2292
234	703	2289
235	706	2287
236	710	2287
237	714	2286
238	717	2285
239	721	2283
240	725	2284
241	730	2287
242	734	2287
243	738	2287
244	741	2285
245	744	2282
246	747	2279
247	750	2276
248	754	2275
249	757	2273
250	760	2270
251	763	2267
252	766	2264
253	770	2263
254	774	2261
255	777	2258
256	780	2255
257	783	2253
258	786	2251
259	790	2248
260	793	2246
261	796	2243
262	800	2241
263	803	2239
264	806	2237
265	809	2234
266	813	2234
267	816	2230
268	819	2225
269	821	2222
270	824	2218
271	827	2214
272	830	2210
273	832	2206
274	835	2201
275	837	2197
276	840	2193
277	843	2190
278	845	2185
279	848	2181
280	850	2176
281	853	2172
282	856	2170
283	859	2166
284	862	2164
285	865	2160
286	868	2158
287	872	2156
288	874	2152
289	877	2148
290	880	2144
291	882	2140
292	886	2137
293	888	2134
294	891	2130
295	894	2126
296	897	2123
297	901	2122
298	904	2119
299	907	2116
300	909	2113
301	913	2110
302	918	2112
303	922	2111
304	925	2109
305	929	2107
306	932	2105
307	936	2103
308	939	2100
309	942	2097
310	945	2095
311	948	2092
312	951	2089
313	955	2086
314	958	2084
315	961	2081
316	965	2079
317	968	2076
318	971	2073
319	974	2070
320	977	2067
321	980	2064
322	983	2060
323	985	2056
324	989	2054
325	992	2051
326	995	2048
327	998	2045
328	1002	2044
329	1005	2041
330	1008	2038
331	1012	2036
332	1015	2033
333	1018	2031
334	1022	2029
335	1025	2027
336	1028	2023
337	1032	2022
338	1035	2019
339	1038	2015
340	1041	2011
341	1043	2008
342	1046	2004
343	1049	2000
344	1051	1997
345	1054	1993
346	1057	1989
347	1059	1985
348	1062	1982
349	1065	1978
350	1067	1974
351	1070	1970
352	1072	1966
353	1076	1963
354	1078	1960
355	1081	1956
356	1084	1952
357	1086	1948
358	1089	1946
359	1092	1942
360	1096	1940
361	1098	1936
362	1101	1932
363	1103	1928
364	1108	1928
365	1111	1924
366	1114	1921
367	1116	1917
368	1119	1914
369	1123	1912
370	1126	1909
371	1128	1905
372	1131	1901
373	1133	1898
374	1137	1895
375	1140	1893
376	1143	1889
377	1146	1885
378	1148	1881
379	1151	1879
380	1154	1876
381	1158	1874
382	1161	1870
383	1164	1867
384	1166	1863
385	1170	1861
386	1173	1858
387	1176	1855
388	1179	1852
389	1182	1849
390	1185	1846
391	1189	1844
392	1192	1841
393	1196	1840
394	1200	1838
395	1203	1834
396	1205	1831
397	1208	1828
398	1211	1824
399	1214	1821
400	1217	1818
401	1220	1815
402	1223	1812
403	1225	1808
404	1228	1804
405	1231	1801
406	1234	1798
407	1237	1795
408	1240	1792
409	1243	1788
410	1245	1785
411	1248	1782
412	1251	1779
413	1255	1776
414	1257	1772
415	1260	1769
416	1263	1765
417	1266	1763
418	1269	1760
419	1272	1757
420	1275	1753
421	1277	1749
422	1280	1747
423	1284	1744
424	1287	1741
425	1289	1738
426	1292	1734
427	1297	1733
428	1300	1730
429	1303	1728
430	1306	1724
431	1309	1722
432	1313	1720
433	1317	1717
434	1320	1715
435	1324	1713
436	1328	1711
437	1332	1709
438	1335	1706
439	1338	1703
440	1342	1701
441	1345	1698
442	1348	1695
443	1351	1692
444	1355	1690
445	1358	1687
446	1361	1684
447	1364	1681
448	1366	1677
449	1370	1674
450	1373	1672
451	1377	1669
452	1380	1667
453	1384	1664
454	1391	1667
455	1397	1667
456	1402	1666
457	1406	1664
458	1410	1662
459	1414	1660
460	1417	1657
461	1421	1655
462	1425	1653
463	1428	1650
464	1431	1646
465	1433	1643
466	1436	1639
467	1438	1635
468	1441	1631
469	1443	1628
470	1446	1624
471	1449	1621
472	1452	1618
473	1455	1615
474	1458	1612
475	1461	1609
476	1464	1606
477	1467	1602
478	1470	1598
479	1472	1595
480	1475	1592
481	1478	1589
482	1481	1585
483	1484	1582
484	1486	1578
485	1489	1575
486	1493	1573
487	1496	1570
488	1499	1566
489	1501	1563
490	1504	1559
491	1508	1557
492	1510	1553
493	1513	1550
494	1516	1547
495	1519	1543
496	1522	1541
497	1525	1537
498	1528	1534
499	1530	1530
500	1533	1527
501	1536	1524
502	1539	1521
503	1542	1517
504	1545	1514
505	1547	1510
506	1550	1507
507	1553	1504
508	1556	1501
509	1558	1497
510	1561	1494
511	1564	1490
512	1568	1488
513	1571	1485
514	1574	1482
515	1577	1479
516	1581	1477
517	1585	1475
518	1589	1472
519	1592	1470
520	1596	1468
